Date,StockPrice
1/1/1970,27.85380952
2/1/1970,22.38105263
3/1/1970,23.1052381
4/1/1970,21.57136364
5/1/1970,18.93285714
6/1/1970,15.44318182
7/1/1970,13.65590909
8/1/1970,13.3352381
9/1/1970,17.38952381
10/1/1970,15.90954545
11/1/1970,13.9705
12/1/1970,14.35454545
1/1/1971,17.3425
2/1/1971,21.85894737
3/1/1971,22.06347826
4/1/1971,22.31904762
5/1/1971,23.5165
6/1/1971,21.23045455
7/1/1971,18.21714286
8/1/1971,16.165
9/1/1971,15.51904762
10/1/1971,16.26190476
11/1/1971,14.8
12/1/1971,18.00363636
1/1/1972,23.1347619
2/1/1972,25.2665
3/1/1972,23.28227273
4/1/1972,23.7355
5/1/1972,21.64454545
6/1/1972,21.475
7/1/1972,22.116
8/1/1972,22.52391304
9/1/1972,22.4165
10/1/1972,22.1
11/1/1972,23.285
12/1/1972,25.42473684
1/1/1973,24.80761905
2/1/1973,22.70210526
3/1/1973,21.43545455
4/1/1973,19.4285
5/1/1973,19.03136364
6/1/1973,17.3552381
7/1/1973,18.49142857
8/1/1973,18.05130435
9/1/1973,18.26789474
10/1/1973,19.20956522
11/1/1973,17.14904762
12/1/1973,13.091
1/1/1974,12.73636364
2/1/1974,13.73368421
3/1/1974,14.81714286
4/1/1974,14.55571429
5/1/1974,16.46
6/1/1974,17.724
7/1/1974,16.69227273
8/1/1974,18.44727273
9/1/1974,17.3975
10/1/1974,16.69304348
11/1/1974,18.5965
12/1/1974,16.35666667
1/1/1975,16.35
2/1/1975,17.26052632
3/1/1975,20.561
4/1/1975,22.25363636
5/1/1975,27.89095238
6/1/1975,30.00333333
7/1/1975,29.26545455
8/1/1975,25.76
9/1/1975,26.3252381
10/1/1975,28.14956522
11/1/1975,24.93263158
12/1/1975,23.725
1/1/1976,27.1752381
2/1/1976,26.94526316
3/1/1976,26.53608696
4/1/1976,27.68238095
5/1/1976,34.013
6/1/1976,36.58863636
7/1/1976,40.02
8/1/1976,41.46818182
9/1/1976,42.94904762
10/1/1976,42.35904762
11/1/1976,42.5145
12/1/1976,44.47409091
1/1/1977,41.46
2/1/1977,40.59473684
3/1/1977,43.73086957
4/1/1977,44.6385
5/1/1977,51.77619048
6/1/1977,56.08318182
7/1/1977,57.31789474
