Date,StockPrice
1/1/1970,83.36809524
2/1/1970,81.59105263
3/1/1970,81.33809524
4/1/1970,76.80590909
5/1/1970,69.27857143
6/1/1970,72.01545455
7/1/1970,71.70818182
8/1/1970,69.84380952
9/1/1970,72.74285714
10/1/1970,78.03818182
11/1/1970,81.0105
12/1/1970,84.56636364
1/1/1971,85.143
2/1/1971,86.57105263
3/1/1971,91.6073913
4/1/1971,97.85
5/1/1971,99.2745
6/1/1971,102.1409091
7/1/1971,101.9390476
8/1/1971,103.3736364
9/1/1971,107.6419048
10/1/1971,109.5057143
11/1/1971,108.3980952
12/1/1971,115.9481818
1/1/1972,117.1419048
2/1/1972,123.987
3/1/1972,127.5390909
4/1/1972,128.756
5/1/1972,129.1318182
6/1/1972,131.0854545
7/1/1972,137.394
8/1/1972,143.6252174
9/1/1972,136.6945
10/1/1972,139.3245455
11/1/1972,142.744
12/1/1972,146.2631579
1/1/1973,146.5842857
2/1/1973,143.7705263
3/1/1973,144.3131818
4/1/1973,140.6505
5/1/1973,136.0918182
6/1/1973,141.357619
7/1/1973,142.5085714
8/1/1973,142.436087
9/1/1973,143.2594737
10/1/1973,143.1634783
11/1/1973,138.5433333
12/1/1973,122.987
1/1/1974,120.5440909
2/1/1974,113.2805263
3/1/1974,115.4509524
4/1/1974,108.8609524
5/1/1974,103.7318182
6/1/1974,112.9355
7/1/1974,98.40136364
8/1/1974,78.96409091
9/1/1974,65.8625
10/1/1974,56.09391304
11/1/1974,56.9815
12/1/1974,49.96
1/1/1975,59.24454545
2/1/1975,72.22157895
3/1/1975,77.2355
4/1/1975,77.56136364
5/1/1975,88.52809524
6/1/1975,90.10571429
7/1/1975,86.86772727
8/1/1975,76.53428571
9/1/1975,72.76714286
10/1/1975,79.20521739
11/1/1975,86.01789474
12/1/1975,83.82227273
1/1/1976,88.97428571
2/1/1976,89.07052632
3/1/1976,86.55304348
4/1/1976,85.45047619
5/1/1976,82.104
6/1/1976,80.54363636
7/1/1976,85.46857143
8/1/1976,86.62863636
9/1/1976,86.99238095
10/1/1976,82.80095238
11/1/1976,79.3105
12/1/1976,77.18590909
1/1/1977,76.04571429
2/1/1977,75.93842105
3/1/1977,77.47695652
4/1/1977,76.6175
5/1/1977,74.0152381
6/1/1977,37.25727273
7/1/1977,38.77210526
8/1/1977,39.1926087
9/1/1977,39.74
10/1/1977,38.62190476
11/1/1977,38.00857143
12/1/1977,36.99666667
1/1/1978,36.01428571
2/1/1978,36.31157895
3/1/1978,37.53
4/1/1978,39.984
5/1/1978,42.49090909
6/1/1978,42.32636364
7/1/1978,41.44
8/1/1978,45.08956522
9/1/1978,44.659
10/1/1978,43.46272727
11/1/1978,41.50285714
12/1/1978,43.2015
1/1/1979,44.94
2/1/1979,42.81157895
3/1/1979,41.41727273
4/1/1979,40.233
5/1/1979,38.29227273
6/1/1979,39.06142857
7/1/1979,37.9852381
8/1/1979,39.94826087
9/1/1979,38.48210526
10/1/1979,35.2626087
11/1/1979,33.61
12/1/1979,34.596
1/1/1980,34.25227273
2/1/1980,33.7465
3/1/1980,30.05714286
4/1/1980,31.27904762
5/1/1980,34.16285714
6/1/1980,33.52
7/1/1980,34.43954545
8/1/1980,36.63952381
9/1/1980,34.28285714
10/1/1980,31.94086957
11/1/1980,30.92166667
12/1/1980,31.32818182
1/1/1981,34.34761905
2/1/1981,33.84473684
3/1/1981,36.71227273
4/1/1981,36.2747619
5/1/1981,35.49
6/1/1981,36.92863636
7/1/1981,33.75090909
8/1/1981,33.38952381
9/1/1981,31.99904762
10/1/1981,34.92227273
11/1/1981,35.2215
12/1/1981,35.065
1/1/1982,33.481
2/1/1982,31.59052632
3/1/1982,31.82434783
4/1/1982,34.05047619
5/1/1982,33.752
6/1/1982,33.67227273
7/1/1982,36.22238095
8/1/1982,37.11590909
9/1/1982,40.62809524
10/1/1982,44.04333333
11/1/1982,46.95380952
12/1/1982,51.01318182
1/1/1983,49.41761905
2/1/1983,48.60052632
3/1/1983,50.99608696
4/1/1983,55.3765
5/1/1983,53.52047619
6/1/1983,51.55909091
7/1/1983,48.94
8/1/1983,49.8826087
9/1/1983,50.25809524
10/1/1983,53.60428571
11/1/1983,54.40761905
12/1/1983,55.46571429
1/1/1984,52.50809524
2/1/1984,50.489
3/1/1984,53.88454545
4/1/1984,54.4265
5/1/1984,56.00772727
6/1/1984,57.06761905
7/1/1984,58.34809524
8/1/1984,61.51347826
9/1/1984,61.79263158
10/1/1984,63.15217391
11/1/1984,63.85714286
12/1/1984,61.915
1/1/1985,62.76818182
2/1/1985,61.58789474
3/1/1985,65.83190476
4/1/1985,69.27190476
5/1/1985,67.49772727
6/1/1985,69.385
7/1/1985,71.40727273
