Date,StockPrice
1/1/1970,74.25333333
2/1/1970,69.97684211
3/1/1970,72.15857143
4/1/1970,74.25272727
5/1/1970,66.6652381
6/1/1970,67.59318182
7/1/1970,72.69636364
8/1/1970,76.14666667
9/1/1970,80.46285714
10/1/1970,84.69181818
11/1/1970,86.3295
12/1/1970,89.95818182
1/1/1971,96.691
2/1/1971,104.15
3/1/1971,109.9430435
4/1/1971,118.4804762
5/1/1971,120.598
6/1/1971,73.68272727
7/1/1971,57.96666667
8/1/1971,58.15545455
9/1/1971,62.64380952
10/1/1971,61.22761905
11/1/1971,57.15095238
12/1/1971,62.53
1/1/1972,63.19809524
2/1/1972,60.5085
3/1/1972,63.35227273
4/1/1972,68.0165
5/1/1972,67.69136364
6/1/1972,67.12863636
7/1/1972,64.687
8/1/1972,66.57956522
9/1/1972,65.593
10/1/1972,63.98318182
11/1/1972,66.254
12/1/1972,69.20210526
1/1/1973,71.97428571
2/1/1973,68.66842105
3/1/1973,66.20863636
4/1/1973,62.8195
5/1/1973,59.30863636
6/1/1973,58.49095238
7/1/1973,59.88238095
8/1/1973,60.12217391
9/1/1973,60.30315789
10/1/1973,65.94913043
11/1/1973,64.06
12/1/1973,60.2575
1/1/1974,62.39454545
2/1/1974,56.75315789
3/1/1974,54.96571429
4/1/1974,54.0252381
5/1/1974,49.76409091
6/1/1974,49.121
7/1/1974,47.05909091
8/1/1974,41.43454545
9/1/1974,34.6455
10/1/1974,35.63782609
11/1/1974,36.8895
12/1/1974,33.43761905
1/1/1975,35.32136364
2/1/1975,41.46947368
3/1/1975,46.196
4/1/1975,45.93954545
5/1/1975,46.53857143
6/1/1975,47.49666667
7/1/1975,50.14454545
8/1/1975,44.57380952
9/1/1975,44.2752381
10/1/1975,47.17608696
11/1/1975,48.33210526
12/1/1975,46.38772727
1/1/1976,51.77619048
2/1/1976,53.45684211
3/1/1976,52.16565217
4/1/1976,53.13333333
5/1/1976,51.614
6/1/1976,54.45636364
7/1/1976,56.99047619
8/1/1976,54.83227273
9/1/1976,54.71
10/1/1976,51.94809524
11/1/1976,51.5335
12/1/1976,52.62772727
1/1/1977,53.60238095
2/1/1977,51.13368421
3/1/1977,50.79086957
4/1/1977,51.5645
5/1/1977,54.61571429
6/1/1977,55.87772727
7/1/1977,55.35842105
8/1/1977,54.17043478
9/1/1977,53.02619048
10/1/1977,50.46714286
11/1/1977,51.03857143
12/1/1977,49.00238095
1/1/1978,46.68761905
2/1/1978,46.11368421
3/1/1978,46.25772727
4/1/1978,48.7965
5/1/1978,52.42318182
6/1/1978,51.86045455
7/1/1978,52.133
8/1/1978,55.61130435
9/1/1978,53.384
10/1/1978,51.33681818
11/1/1978,48.69761905
12/1/1978,47.696
1/1/1979,49.17318182
2/1/1979,46.96842105
3/1/1979,47.48545455
4/1/1979,48.2515
5/1/1979,49.41772727
6/1/1979,49.54380952
7/1/1979,50.47238095
8/1/1979,53.28565217
9/1/1979,51.47631579
10/1/1979,48.87217391
11/1/1979,47.02047619
12/1/1979,48.3595
1/1/1980,53.47454545
2/1/1980,53.1705
3/1/1980,47.6152381
4/1/1980,46.87714286
5/1/1980,47.52666667
6/1/1980,50.2752381
7/1/1980,54.05318182
8/1/1980,56.3047619
9/1/1980,54.06238095
10/1/1980,53.42695652
11/1/1980,58.21777778
12/1/1980,59.01318182
1/1/1981,61.80571429
2/1/1981,62.83
3/1/1981,66.56
4/1/1981,66.83142857
5/1/1981,64.6425
6/1/1981,65.35090909
7/1/1981,61.15
8/1/1981,58.49619048
9/1/1981,54.23380952
10/1/1981,55.40090909
11/1/1981,56.659
12/1/1981,58.79772727
1/1/1982,58.102
2/1/1982,61.54263158
3/1/1982,61.1226087
4/1/1982,64.35571429
5/1/1982,63.35
6/1/1982,61.70681818
7/1/1982,66.61142857
8/1/1982,67.89045455
9/1/1982,76.09857143
10/1/1982,82.14666667
11/1/1982,89.7052381
12/1/1982,95.03772727
1/1/1983,95.75428571
2/1/1983,103.3784211
3/1/1983,104.9113043
4/1/1983,108.1545
5/1/1983,108.1352381
6/1/1983,57.58227273
7/1/1983,52.961
8/1/1983,48.52956522
9/1/1983,51.16809524
10/1/1983,53.44142857
11/1/1983,54.54380952
12/1/1983,57.37047619
1/1/1984,56.76428571
2/1/1984,53.302
3/1/1984,52.13318182
4/1/1984,53.9155
5/1/1984,53.985
6/1/1984,53.14571429
7/1/1984,50.69333333
8/1/1984,57.04043478
9/1/1984,56.64684211
10/1/1984,55.95304348
11/1/1984,57.24047619
12/1/1984,55.5525
1/1/1985,60.04727273
2/1/1985,63.34368421
3/1/1985,62.04952381
4/1/1985,59.68714286
5/1/1985,59.79818182
6/1/1985,60.915
7/1/1985,62.29772727
8/1/1985,61.72363636
9/1/1985,59.48947368
10/1/1985,58.71434783
11/1/1985,63.269
12/1/1985,68.93142857
1/1/1986,69.95181818
2/1/1986,74.54421053
3/1/1986,76.8415
4/1/1986,77.62772727
5/1/1986,77.69428571
6/1/1986,80.92
7/1/1986,76.19727273
8/1/1986,75.30714286
9/1/1986,74.3247619
10/1/1986,74.76913043
11/1/1986,78.3
12/1/1986,86.40636364
1/1/1987,94.15761905
2/1/1987,100.8394737
3/1/1987,106.6445455
4/1/1987,105.2952381
5/1/1987,93.2605
6/1/1987,54.08181818
7/1/1987,56.13954545
8/1/1987,62.63714286
9/1/1987,60.8952381
10/1/1987,53.08136364
11/1/1987,44.996
12/1/1987,43.82636364
1/1/1988,44.8775
2/1/1988,43.4155
3/1/1988,43.25304348
4/1/1988,40.7965
5/1/1988,39.91904762
6/1/1988,43.16090909
7/1/1988,42.8835
8/1/1988,40.61086957
9/1/1988,42.29428571
10/1/1988,43.77047619
11/1/1988,44.03190476
12/1/1988,45.22285714
1/1/1989,45.40666667
2/1/1989,46.83842105
3/1/1989,45.03681818
4/1/1989,46.4775
5/1/1989,51.03
6/1/1989,54.05272727
7/1/1989,54.7525
8/1/1989,57.61086957
9/1/1989,56.646
10/1/1989,56.67363636
11/1/1989,57.03238095
12/1/1989,63.421
1/1/1990,63.915
2/1/1990,61.75842105
3/1/1990,63.21772727
4/1/1990,65.0055
5/1/1990,67.28818182
6/1/1990,69.56428571
7/1/1990,72.46761905
8/1/1990,65.16826087
9/1/1990,58.23315789
10/1/1990,53.23043478
11/1/1990,53.57809524
12/1/1990,56.614
1/1/1991,56.80409091
2/1/1991,67.17578947
3/1/1991,68.055
4/1/1991,72.42909091
5/1/1991,72.50863636
6/1/1991,74.88
7/1/1991,73.67318182
8/1/1991,73.13863636
9/1/1991,70.304
10/1/1991,69.49826087
11/1/1991,67.98
12/1/1991,68.03952381
1/1/1992,76.94136364
2/1/1992,78.00421053
3/1/1992,77.765
4/1/1992,76.09952381
5/1/1992,77.2465
6/1/1992,76.61181818
7/1/1992,76.86090909
8/1/1992,75.32
9/1/1992,76.61047619
10/1/1992,76.10590909
11/1/1992,79.203
12/1/1992,84.45818182
1/1/1993,84.985
2/1/1993,84.87315789
3/1/1993,87.4426087
4/1/1993,92.16380952
5/1/1993,92.5115
6/1/1993,94.35545455
7/1/1993,97.61666667
8/1/1993,98.45363636
9/1/1993,96.86142857
10/1/1993,96.68238095
11/1/1993,96.2352381
12/1/1993,102.8495455
1/1/1994,106.242381
2/1/1994,107.5642105
3/1/1994,104.1113043
4/1/1994,97.26789474
5/1/1994,70.63047619
6/1/1994,47.89409091
7/1/1994,48.034
8/1/1994,48.99173913
9/1/1994,49.66285714
10/1/1994,48.54380952
11/1/1994,48.13333333
12/1/1994,48.5747619
1/1/1995,51.06190476
2/1/1995,52.99
3/1/1995,54.12173913
4/1/1995,54.98947368
5/1/1995,57.26318182
6/1/1995,57.15545455
7/1/1995,58.841
8/1/1995,58.20304348
9/1/1995,61.2835
10/1/1995,63.22772727
11/1/1995,65.29666667
12/1/1995,70.892
1/1/1996,72.83954545
2/1/1996,78.1795
3/1/1996,77.06952381
4/1/1996,78.40904762
5/1/1996,79.97590909
6/1/1996,85.785
7/1/1996,83.15090909
8/1/1996,85.03181818
9/1/1996,87.2105
10/1/1996,94.35608696
11/1/1996,101.6545
12/1/1996,99.9147619
1/1/1997,102.4804545
2/1/1997,105.5173684
3/1/1997,103.6415
4/1/1997,102.9018182
5/1/1997,78.68047619
6/1/1997,64.42142857
7/1/1997,70.73727273
8/1/1997,66.37047619
9/1/1997,67.62952381
10/1/1997,68.54173913
11/1/1997,69.56473684
12/1/1997,73.55272727
1/1/1998,74.528
2/1/1998,77.51157895
3/1/1998,79.76272727
4/1/1998,85.84380952
5/1/1998,84.0585
6/1/1998,85.91681818
7/1/1998,92.82863636
8/1/1998,88.5952381
9/1/1998,80.26095238
10/1/1998,79.99318182
11/1/1998,90.1985
12/1/1998,93.94954545
1/1/1999,100.58
2/1/1999,100.2957895
3/1/1999,106.7904348
4/1/1999,112.2238095
5/1/1999,106.5215
6/1/1999,104.5077273
7/1/1999,115.362381
8/1/1999,110.6736364
9/1/1999,117.9842857
10/1/1999,122.1952381
11/1/1999,135.2428571
12/1/1999,147.885
1/1/2000,146.463
2/1/2000,133.807
3/1/2000,141.7026087
4/1/2000,156.8436842
5/1/2000,75.75363636
6/1/2000,50.72181818
7/1/2000,52.673
8/1/2000,55.92304348
9/1/2000,58.2015
10/1/2000,55.74636364
11/1/2000,52.04238095
12/1/2000,51.045
1/1/2001,46.37047619
2/1/2001,47.05789474
3/1/2001,42.32590909
4/1/2001,44.876
5/1/2001,50.26136364
6/1/2001,49.02142857
7/1/2001,46.24619048
8/1/2001,41.73913043
9/1/2001,36.29666667
10/1/2001,37.64434783
11/1/2001,39.99857143
12/1/2001,38.9265
1/1/2002,38.75190476
2/1/2002,37.46789474
3/1/2002,39.5825
4/1/2002,34.595
5/1/2002,31.80909091
6/1/2002,29.767
7/1/2002,27.98954545
8/1/2002,31.41727273
9/1/2002,27.533
10/1/2002,25.30695652
11/1/2002,25.388
12/1/2002,25.84666667
1/1/2003,24.64761905
2/1/2003,23.06578947
3/1/2003,25.17238095
4/1/2003,28.06
5/1/2003,28.43714286
6/1/2003,30.02619048
7/1/2003,28.18272727
8/1/2003,28.91571429
9/1/2003,31.0652381
10/1/2003,29.40695652
11/1/2003,28.59421053
12/1/2003,30.18045455
1/1/2004,32.674
2/1/2004,33.10578947
3/1/2004,31.03391304
4/1/2004,30.92714286
5/1/2004,30.382
6/1/2004,31.96
7/1/2004,32.67190476
8/1/2004,32.375
9/1/2004,33.52238095
10/1/2004,33.70571429
11/1/2004,35.49238095
12/1/2004,36.44545455
1/1/2005,35.799
2/1/2005,35.94368421
3/1/2005,35.78636364
4/1/2005,35.8647619
5/1/2005,36.38428571
6/1/2005,36.14363636
7/1/2005,34.9785
8/1/2005,33.94086957
9/1/2005,33.79047619
10/1/2005,33.83190476
11/1/2005,34.83047619
12/1/2005,35.59238095
1/1/2006,34.445
2/1/2006,33.09684211
3/1/2006,33.74565217
4/1/2006,34.16736842
5/1/2006,34.45272727
6/1/2006,33.825
7/1/2006,32.851
8/1/2006,33.29
9/1/2006,34.566
10/1/2006,35.68090909
11/1/2006,35.46619048
12/1/2006,36.4925
1/1/2007,37.206
2/1/2007,35.84789474
3/1/2007,34.90818182
4/1/2007,35.3315
5/1/2007,37.16272727
6/1/2007,37.89952381
7/1/2007,39.39809524
8/1/2007,38.5673913
9/1/2007,40.21736842
10/1/2007,41.03391304
11/1/2007,38.76809524
12/1/2007,37.1505
1/1/2008,35.18380952
2/1/2008,34.3755
3/1/2008,34.8015
4/1/2008,34.34954545
5/1/2008,32.0747619
6/1/2008,29.0052381
7/1/2008,27.88454545
8/1/2008,28.9247619
9/1/2008,26.36047619
10/1/2008,20.36130435
11/1/2008,17.07473684
12/1/2008,16.88454545
1/1/2009,14.472
2/1/2009,10.79
3/1/2009,9.293636364
4/1/2009,11.55666667
5/1/2009,13.4735
6/1/2009,12.83272727
7/1/2009,11.76181818
8/1/2009,14.02333333
9/1/2009,15.59190476
10/1/2009,15.79772727
11/1/2009,15.508
12/1/2009,15.75454545
