Date,StockPrice
1/1/1970,360.3190476
2/1/1970,346.7236842
3/1/1970,327.3457143
4/1/1970,319.8527273
5/1/1970,270.3752381
6/1/1970,267.205
7/1/1970,252.5968182
8/1/1970,247.357619
9/1/1970,274.857619
10/1/1970,294.4663636
11/1/1970,296.4255
12/1/1970,314.5340909
1/1/1971,316.4505
2/1/1971,333.8689474
3/1/1971,351.9078261
4/1/1971,357.0538095
5/1/1971,343.325
6/1/1971,319.0290909
7/1/1971,304.6547619
8/1/1971,302.3977273
9/1/1971,304.2442857
10/1/1971,305.4052381
11/1/1971,296.8752381
12/1/1971,327.1818182
1/1/1972,350.6904762
2/1/1972,369.9315
3/1/1972,378.08
4/1/1972,389.025
5/1/1972,389.9204545
6/1/1972,394.8468182
7/1/1972,396.0125
8/1/1972,413.7173913
9/1/1972,400.1375
10/1/1972,388.625
11/1/1972,384.238
12/1/1972,395.7631579
1/1/1973,424.5061905
2/1/1973,438.9015789
3/1/1973,437.4040909
4/1/1973,423.725
5/1/1973,393.8754545
6/1/1973,317.53
7/1/1973,312.3452381
8/1/1973,303.8478261
9/1/1973,278.4873684
10/1/1973,274.5056522
11/1/1973,277.2085714
12/1/1973,252.0065
1/1/1974,241.1081818
2/1/1974,234.9278947
3/1/1974,244.1728571
4/1/1974,231.042381
5/1/1974,221.7054545
6/1/1974,220.019
7/1/1974,210.9377273
8/1/1974,199.6254545
9/1/1974,169.394
10/1/1974,175.5769565
11/1/1974,181.57
12/1/1974,168.4233333
1/1/1975,168.1545455
2/1/1975,206.4747368
3/1/1975,213.932
4/1/1975,206.3586364
5/1/1975,214.7038095
6/1/1975,211.1261905
7/1/1975,201.6036364
8/1/1975,182.292381
9/1/1975,184.5661905
10/1/1975,205.9304348
11/1/1975,219.62
12/1/1975,219.2863636
1/1/1976,241.0014286
2/1/1976,257.9542105
3/1/1976,259.7073913
4/1/1976,261.8880952
5/1/1976,252.9315
6/1/1976,262.7677273
7/1/1976,274.9052381
8/1/1976,274.7572727
9/1/1976,281.0014286
10/1/1976,269.9352381
11/1/1976,267.1505
12/1/1976,271.7959091
1/1/1977,272.3690476
2/1/1977,272.3752632
3/1/1977,280.86
4/1/1977,270.1505
5/1/1977,253.5547619
6/1/1977,256.4795455
7/1/1977,266.6331579
8/1/1977,268.0286957
9/1/1977,261.9538095
10/1/1977,258.162381
11/1/1977,258.5552381
12/1/1977,265.2571429
1/1/1978,267.1147619
2/1/1978,258.2178947
3/1/1978,242.5472727
4/1/1978,247.6765
5/1/1978,263.2513636
6/1/1978,265.0127273
7/1/1978,265.376
8/1/1978,291.1530435
9/1/1978,290.282
10/1/1978,278.4268182
11/1/1978,265.12
12/1/1978,281.502
1/1/1979,308.825
2/1/1979,304.7578947
3/1/1979,309.6777273
4/1/1979,313.6135
5/1/1979,309.3363636
6/1/1979,75.2352381
7/1/1979,70.61666667
8/1/1979,70.16086957
9/1/1979,68.16894737
10/1/1979,65.15652174
11/1/1979,62.82285714
12/1/1979,65.235
1/1/1980,67.77136364
2/1/1980,67.0855
3/1/1980,59.28333333
4/1/1980,53.65666667
5/1/1980,53.87809524
6/1/1980,58.13380952
7/1/1980,63.35681818
8/1/1980,66.27809524
9/1/1980,66.17047619
10/1/1980,67.53608696
11/1/1980,69.46277778
12/1/1980,66.595
1/1/1981,66.75380952
2/1/1981,62.94789474
3/1/1981,63.06409091
4/1/1981,60.68095238
5/1/1981,57.0535
6/1/1981,58.74136364
7/1/1981,56.15681818
8/1/1981,56.9547619
9/1/1981,54.6752381
10/1/1981,52.74090909
11/1/1981,51.827
12/1/1981,54.95681818
1/1/1982,59.859
2/1/1982,62.04157895
3/1/1982,59.14956522
4/1/1982,63.35047619
5/1/1982,63.4935
6/1/1982,60.02636364
7/1/1982,64.60666667
8/1/1982,66.09
9/1/1982,73.8547619
10/1/1982,80.27238095
11/1/1982,83.30666667
12/1/1982,93.275
1/1/1983,97.14095238
2/1/1983,97.83368421
3/1/1983,101.416087
4/1/1983,109.854
5/1/1983,114.5752381
6/1/1983,118.1286364
7/1/1983,122.1885
8/1/1983,119.5143478
9/1/1983,123.582381
10/1/1983,130.1271429
11/1/1983,123.7419048
12/1/1983,121.3004762
1/1/1984,119.8433333
2/1/1984,110.548
3/1/1984,111.8159091
4/1/1984,111.26
5/1/1984,111.1790909
6/1/1984,104.7419048
7/1/1984,106.6704762
8/1/1984,121.716087
9/1/1984,124.3526316
10/1/1984,123.3026087
11/1/1984,123.6819048
12/1/1984,120.6855
1/1/1985,126.2936364
2/1/1985,134.0673684
3/1/1985,130.0547619
4/1/1985,127.5942857
5/1/1985,128.8695455
6/1/1985,123.862
7/1/1985,126.8236364
8/1/1985,128.2559091
9/1/1985,127.3605263
10/1/1985,127.0756522
11/1/1985,135.847
12/1/1985,148.7228571
1/1/1986,151.0072727
2/1/1986,156.2784211
3/1/1986,149.6075
4/1/1986,153.4163636
5/1/1986,149.4547619
6/1/1986,148.5028571
7/1/1986,138.3309091
8/1/1986,134.8709524
9/1/1986,138.3885714
10/1/1986,124.6173913
11/1/1986,123.2542105
12/1/1986,125.6418182
1/1/1987,123.367619
2/1/1987,136.4689474
3/1/1987,145.3486364
4/1/1987,150.7866667
5/1/1987,162.2075
6/1/1987,161.6890909
7/1/1987,164.5027273
8/1/1987,168.1209524
9/1/1987,157.9657143
10/1/1987,136.5968182
11/1/1987,119.0555
12/1/1987,113.8736364
1/1/1988,115.886
2/1/1988,112.023
3/1/1988,113.5634783
4/1/1988,112.2665
5/1/1988,110.5161905
6/1/1988,118.85
7/1/1988,124.9915
8/1/1988,117.8508696
9/1/1988,113.2061905
10/1/1988,119.3071429
11/1/1988,118.6233333
12/1/1988,121.3485714
1/1/1989,123.5804762
2/1/1989,125.8010526
3/1/1989,115.3836364
4/1/1989,111.211
5/1/1989,110.6795455
6/1/1989,110.3104545
7/1/1989,113.504
8/1/1989,115.6943478
9/1/1989,115.491
10/1/1989,104.5781818
11/1/1989,98.49142857
12/1/1989,96.222
1/1/1990,98.23681818
2/1/1990,102.1347368
3/1/1990,106.1972727
4/1/1990,107.9415
5/1/1990,114.1172727
6/1/1990,119.3190476
7/1/1990,117.5985714
8/1/1990,103.4926087
9/1/1990,105.3921053
10/1/1990,105.6934783
11/1/1990,111.0695238
12/1/1990,113.179
1/1/1991,114.9686364
2/1/1991,132.0278947
3/1/1991,123.694
4/1/1991,110.2704545
5/1/1991,104.0086364
6/1/1991,101.1595
7/1/1991,99.60045455
8/1/1991,97.61681818
9/1/1991,102.347
10/1/1991,99.82391304
11/1/1991,97.447
12/1/1991,88.36095238
1/1/1992,92.86727273
2/1/1992,89.98526316
3/1/1992,86.645
4/1/1992,86.72333333
5/1/1992,92.1475
6/1/1992,93.185
7/1/1992,95.81590909
8/1/1992,88.53857143
9/1/1992,84.9147619
10/1/1992,73.56545455
11/1/1992,65.4915
12/1/1992,58.20090909
1/1/1993,48.92
2/1/1993,51.71842105
3/1/1993,54.08956522
4/1/1993,50.10952381
5/1/1993,49.184
6/1/1993,51.235
7/1/1993,45.91380952
8/1/1993,43.395
9/1/1993,43.57285714
10/1/1993,44.25238095
11/1/1993,51.60809524
12/1/1993,56.42227273
1/1/1994,57.90142857
2/1/1994,54.14105263
3/1/1994,55.25782609
4/1/1994,54.60105263
5/1/1994,59.66333333
6/1/1994,62.03636364
7/1/1994,58.62
8/1/1994,65.42304348
9/1/1994,68.73571429
10/1/1994,72.40809524
11/1/1994,72.43857143
12/1/1994,71.56238095
1/1/1995,74.84904762
2/1/1995,74.58947368
3/1/1995,81.32347826
4/1/1995,87.90473684
5/1/1995,94.24818182
6/1/1995,94.00272727
7/1/1995,103.435
8/1/1995,108.2469565
9/1/1995,96.5735
10/1/1995,95.15727273
11/1/1995,96.9747619
12/1/1995,93.3915
1/1/1996,94.42363636
2/1/1996,116.91
3/1/1996,116.3066667
4/1/1996,112.2061905
5/1/1996,108.3509091
6/1/1996,101.96
7/1/1996,97.75363636
8/1/1996,111.2986364
9/1/1996,120.3235
10/1/1996,127.3256522
11/1/1996,142.128
12/1/1996,156.532381
1/1/1997,159.4913636
2/1/1997,146.5552632
3/1/1997,141.6775
4/1/1997,139.3427273
5/1/1997,157.757619
6/1/1997,88.29285714
7/1/1997,99.11181818
8/1/1997,104.7247619
9/1/1997,101.5138095
10/1/1997,101.916087
11/1/1997,102.2484211
12/1/1997,105.4022727
1/1/1998,101.605
2/1/1998,101.5305263
3/1/1998,101.4672727
4/1/1998,109.85
5/1/1998,120.755
6/1/1998,113.9954545
7/1/1998,121.3290909
8/1/1998,128.2138095
9/1/1998,126.1661905
10/1/1998,133.7590909
11/1/1998,156.8585
12/1/1998,172.4331818
1/1/1999,186.3426316
2/1/1999,173.2078947
3/1/1999,175.42
4/1/1999,187.6228571
5/1/1999,213.9635
6/1/1999,119.0454545
7/1/1999,131.0266667
8/1/1999,123.4077273
9/1/1999,128.4766667
10/1/1999,107.3861905
11/1/1999,98.30285714
12/1/1999,110.1840909
1/1/2000,117.5085
2/1/2000,113.8865
3/1/2000,111.4091304
4/1/2000,114.2457895
5/1/2000,107.55
6/1/2000,114.2681818
7/1/2000,107.6085
8/1/2000,120.91
9/1/2000,125.4525
10/1/2000,104.1977273
11/1/2000,99.2847619
12/1/2000,91.6465
1/1/2001,100.7671429
2/1/2001,111.1931579
3/1/2001,97.36636364
4/1/2001,103.9905
5/1/2001,115.7813636
6/1/2001,114.6895238
7/1/2001,106.7171429
8/1/2001,105.093913
9/1/2001,95.13866667
10/1/2001,101.4008696
11/1/2001,113.4490476
12/1/2001,120.651
1/1/2002,116.4833333
2/1/2002,103.1942105
3/1/2002,105.2465
4/1/2002,90.54090909
5/1/2002,82.61863636
6/1/2002,74.7185
7/1/2002,69.92727273
8/1/2002,74.62363636
9/1/2002,68.955
10/1/2002,67.20043478
11/1/2002,81.2335
12/1/2002,80.75428571
1/1/2003,82.56190476
2/1/2003,77.99052632
3/1/2003,79.25761905
4/1/2003,82.2352381
5/1/2003,87.07142857
6/1/2003,83.94333333
7/1/2003,83.82318182
8/1/2003,81.68952381
9/1/2003,88.89095238
10/1/2003,90.31521739
11/1/2003,89.49842105
12/1/2003,92.12318182
1/1/2004,94.9625
2/1/2004,98.47315789
3/1/2004,93.58956522
4/1/2004,92.04285714
5/1/2004,87.552
6/1/2004,89.42
7/1/2004,85.64095238
8/1/2004,84.57545455
9/1/2004,85.18857143
10/1/2004,87.29190476
11/1/2004,93.58952381
12/1/2004,96.87590909
1/1/2005,94.5615
2/1/2005,93.34947368
3/1/2005,91.30772727
4/1/2005,81.76047619
5/1/2005,75.62095238
6/1/2005,75.60636364
7/1/2005,80.8735
8/1/2005,82.13217391
9/1/2005,79.58857143
10/1/2005,82.06333333
11/1/2005,85.24380952
12/1/2005,85.13761905
1/1/2006,82.4975
2/1/2006,80.53
3/1/2006,81.98217391
4/1/2006,82.47263158
5/1/2006,81.54818182
6/1/2006,78.02863636
7/1/2006,75.914
8/1/2006,77.82521739
9/1/2006,81.5885
10/1/2006,86.80227273
11/1/2006,92.32666667
12/1/2006,94.7905
1/1/2007,98.0605
2/1/2007,98.51947368
3/1/2007,93.60818182
4/1/2007,96.5505
5/1/2007,104.7154545
6/1/2007,104.7652381
7/1/2007,111.2733333
8/1/2007,111.9713043
9/1/2007,116.5263158
10/1/2007,115.9817391
11/1/2007,106.6747619
12/1/2007,108.362
1/1/2008,102.8890476
2/1/2008,107.4805
3/1/2008,115.6985
4/1/2008,119.5490909
5/1/2008,125.0914286
6/1/2008,124.9171429
7/1/2008,124.4472727
8/1/2008,125.5242857
9/1/2008,116.9995238
10/1/2008,92.73652174
11/1/2008,82.72842105
12/1/2008,81.85909091
1/1/2009,87.5965
2/1/2009,91.11315789
3/1/2009,91.44136364
4/1/2009,100.2495238
5/1/2009,103.456
6/1/2009,106.8009091
7/1/2009,109.4368182
8/1/2009,118.4309524
9/1/2009,119.0557143
10/1/2009,122.2395455
11/1/2009,125.2735
12/1/2009,128.8963636
